
2023-04-30,18:37,augustokoch,Vainilla,Dulce de leche,Sin cobertura,Sin sprinkles,3,1800
2023-04-30,18:39,augustokoch,Vainilla,Dulce de leche,Sin cobertura,Sin sprinkles,3,1800
2023-05-01,12:28,augustokoch,Frutilla,Crema Pastelera,Chocolate,Chocolate,4,4800
2023-05-01,12:28,augustokoch,Vainilla,Dulce de leche,Chocolate,Chocolate,1,1100
2023-05-01,12:29,augustokoch,Vainilla,Dulce de leche,Chocolate,Chocolate,2,2200
2023-05-01,12:29,augustokoch,Vainilla,Dulce de leche,Sin cobertura,Sin sprinkles,4,2400
2023-05-01,18:06,augusto,Frutilla,Crema Pastelera,Crema,Multicolor,4,3720
2023-05-02,02:46,augusto,Chocolate,Dulce de leche,Sin cobertura,Sin sprinkles,2,820
2023-05-02,02:52,augusto,Crema,Dulce de leche,Sin cobertura,Sin sprinkles,2,20800
2023-05-02,17:14,augusto,Frutilla,Crema Pastelera,Crema,Multicolor,3,2790
